Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
9 Dec 2025,Fibe,Fintech,Lendingtech,B2B,$35 Mn,Series F,International Finance Corporation,International Finance Corporation
11 Dec 2025,Inito,Health Tech,Diagnostics,B2C,$29 Mn,Series B,"Bertelsmann India Investments, Fireside Ventures","Bertelsmann India Investments, Fireside Ventures"
10 Dec 2025,Skydo,Fintech,Banking,B2B,$10 Mn,Series A,"Susquehanna Asia Venture Capital, Elevation Capital",Susquehanna Asia Venture Capital
10 Dec 2025,Smart Joules,Cleantech,Climate Tech,B2B,$10 Mn,Series B,"SBI Ventures, Waaree, Spectrum Impact",SBI Ventures
11 Dec 2025,Uolo,Edtech,Digital Learning Platform,B2C,$7 Mn,Pre-Series B,"Five Sigma, Blume Ventures, Morphosis, Alicorn",Five Sigma
11 Dec 2025,iSprout,Real Estate Tech,Property Listing & Discovery,B2B,$6.6 Mn,Debt,Tata Capital,Tata Capital
10 Dec 2025,Elecbits,Enterprise Services,Manufacturing Solutions,B2B,$5.5 Mn,Series A,"Nexus Venture Partners, SE Ventures, Riverwalk Holdings",Nexus Venture Partners
10 Dec 2025,KNOT,Consumer Services,Quick Commerce,B2C,$5 Mn,–,"12 Flags, Kae Capital, Boundless Ventures",12 Flags
8 Dec 2025,Agilitas Sports,Enterprise Services,Manufacturing Solutions,"B2B, B2C",$4.4 Mn,–,Virat Kohli,Virat Kohli
11 Dec 2025,Dr. Paws*,Consumer Services,Hyperlocal Services,B2C,$3.3 Mn,Pre-Series A,"Chiratae Ventures, Sauce.vc, Trifecta Capital, Stride Ventures",Chiratae Ventures
10 Dec 2025,Earthful,Ecommerce,D2C,B2C,$3.1 Mn,Pre-Series A,"Fireside Ventures, V3 Ventures, Atrium Angels","Fireside Ventures, V3 Ventures"
11 Dec 2025,NeoSapien,Ecommerce,D2C,B2C,$2 Mn,Seed,"Merak Ventures, Sameer Mehta (cofounder, boAt), Awais Ahmed (founder, Pixxel), Anupam Mittal (founder, Shaadi.com), Namita Thapar (executive director, Emcure Pharmaceuticals), Aprameya Radhakrishna (ex-CEO,Koo)",Merak Ventures
8 Dec 2025,Conscious Chemist,Ecommerce,D2C,B2C,$1.6 Mn,–,"Atomic Capital, First Port Capital Fund B, IPV International",Atomic Capital
10 Dec 2025,SuperBryn,AI,Application Layer,B2B,$1.2 Mn,Pre-Seed,"Kalaari Capital, Rikant Pitti (cofounder, EaseMyTrip), Arjun Pillai (founder, Docket AI), Sharath Keshava Narayanan (founder, Sanas AI), Harish Manian (group CEO, BMH), Nivin Pauly (Actor)",Kalaari Capital
8 Dec 2025,Lumov Health,Health Tech,Healthcare Devices,B2C,$1.2 Mn,Seed,"Incubate Fund Asia, QRG Investments & Holdings, IIMA Ventures, SIDBI, Ashish Gupta (cofounder, Helion Advisors), Saket Narang (managing director, Steinberg India), Abhishek Goyal (cofounder, Tracxn), Arjun Vaidya (founder, V3 Ventures), Indian Silicon Valley Capital, Mapaex Family Office",Incubate Fund Asia
8 Dec 2025,Frex,Fintech,Banking,B2C,$1.1 Mn,Pre-Seed,"Zeropearl VC, White Venture Capital, Abhiraj Singh Bhal (cofounder, Urban Company), Varun Khaitan (cofounder, Urban Company), Raghav Chandra (cofounder, Urban Company), Pradeep Parameswaran (global head of mobility, Uber), Kunal Shah (founder, CRED), Rishabh Goel (founder, Credgenics)","Zeropearl VC, White Venture Capital"
11 Dec 2025,Toffee Coffee Roasters,Ecommerce,D2C,B2C,$554K,Pre-Series A,"Inflection Point Ventures, 66 Bridge Partners, Abhijit Vemuganti (cofounder, Swipe), Invesst",Inflection Point Ventures
8 Dec 2025,Koriken,Ecommerce,D2C,B2C,$443K,Seed,Rukam Capital,Rukam Capital
10 Dec 2025,Faraday,AI,Application Layer,B2B,$200K,–,ajvc,ajvc
9 Dec 2025,Emergent,AI,Application Layer,B2C,–,–,Google,Google
11 Dec 2025,Whilter AI,AI,Application Layer,B2B,–,–,AIONOS,AIONOS
