Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
19 Aug 2026,Navi,Fintech,Lending Tech,B2C,$100 Mn,–,Prosus,Prosus
19 Aug 2026,BookMyShow,Consumer Services,Listing & Discovery Services,B2C,$40 Mn*,–,KKR,KKR
19 Aug 2026,CtrlS DataCenters,Enterprise Services,–,B2B,$26.1 Mn,–,"Nikhil Kamath (Zerodha), Sreeram Reddy Vanga (kofluence)",Nikhil Kamath (Zerodha)
18 Aug 2026,NeoGeo,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,"B2B, B2G",$20 Mn,Series A,"SBI Ventures (Neev II Fund), Aavishkaar Capital","SBI Ventures, Aavishkaar Capital"
18 Aug 2026,Rezolv,Fintech,Fintech SaaS,B2B,$12.5 Mn,Series A,"Norwest Capital,Vertex Ventures Southeast Asia and India, 3one4 Capital",Norwest Capital
20 Aug 2026,Peeko,Consumer Services,Quick Commerce,B2C,$7 Mn,Series A,"Chiratae Ventures, Stellaris Venture Partners",Chiratae Ventures
19 Aug 2026,Butterfly Learnings,Health Tech,Therapy,"B2B,B2C",$6.7 Mn,Pre-Series B,"Inflexor Ventures, Enzia Ventures, Insitor Impact Asia Fund, IIMA Ventures",Inflexor Ventures
21 Aug 2026,Greenjoules,Clean Tech,Climate Tech,B2B2C,$6.5 Mn**,–,"Amazon, Singularity AMC",Amazon
18 Aug 2026,LISSUN,Health Tech,Therapy,B2C,$5 Mn,Series A,"Colossa Ventures, Physis Capital, RPSG Capital Ventures, IvyCap Ventures, Rainmatter, Multiply Ventures, SucSEED Ventures, New Age India Fund, Beyond Capital Ventures",Colossa Ventures
18 Aug 2026,DeHaat Honest Farms,Ecommerce,D2C,B2C,$3.6 Mn,Pre-Series A,"OTP Ventures, Sadev Capital, Maiuni Ventures",OTP Ventures
19 Aug 2026,AlgoFET,Advanced Hardware & Technology,Defence Tech,B2B,$1.5 Mn,Pre-Series A,Piper Serica,Piper Serica
19 Aug 2026,First Coffee,Foodtech,QSR,B2C,$1.3 Mn,Pre-Series A,"DG Daiwa Ventures, BEENEXT, Sanjay Kapoor (Genesis Luxury), Shashank Bhagat (BI Group)",DG Daiwa Ventures
19 Aug 2026,Yantra Packs,Logistics,Logistics Process Solutions,B2B,$1.2 Mn,Seed,"Caret Capital, Impact Infracap",Caret Capital
20 Aug 2026,Bruno Milano,Ecommerce,D2C,B2C,$731K,–,"Sauce VC, Titan Capital, Arjun Purkayastha (Angel Investor), Roman Saini (Unacademy), Kitty Agarwal (Orios Venture Partners)",Sauce VC
20 Aug 2026,Zaydn,Ecommerce,D2C,B2C,$681K,Seed,"Inflection Point Ventures, BeyondSeed",Inflection Point Ventures
20 Aug 2026,Tross,AI,Application Layer,B2B,–,Pre-Seed,"All In Capital, DeVC",All In Capital
20 Aug 2026,Neuromod Aqua,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,–,Pre-Seed,Porush Jain ( Sportskeeda),Porush Jain ( Sportskeeda)
