Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
24 Aug 2026,Third Wave Coffee,Ecommerce,D2C,B2C,$43 Mn*,–,"WestBridge Capital, Creagis",WestBridge Capital
25 Aug 2026,Airbound,Advanced Hardware & Technology,Aerial Vehicles,B2B,$37 Mn,Series A,"Greenoaks, DoorDash, Lachy Groom (Physical Intelligence), Lightspeed, Humba Ventures",Greenoaks
25 Aug 2026,MATTER,Clean Tech,Electric Vehicles,B2C,$25 Mn,–,"Helena, Capital 2B, Japan Airlines & Translink Innovation Fund, Shakopee Mdewakanton Sioux Community",–
26 Aug 2026,Runable,AI,Application Layer,B2B,$21 Mn,Series A,"Susquehanna Venture Capital, Nexus Venture Partners, Together Fund, Array VC","Susquehanna Venture Capital, Nexus Venture Partners"
25 Aug 2026,Nexedge Capital,Fintech,Investment Tech,B2C,$20 Mn,–,"Mirae Asset Venture Investment, Elev8 Venture Partners","Mirae Asset Venture Investment, Elev8 Venture Partners"
27 Aug 2026,InstaAstro,Consumer Services,Astrology Services,B2C,$12 Mn,Series A,"Singularity AMC, Artha Venture Fund, Nitin Verma (InstaAstro), Anirudh Damani (Artha)","Singularity AMC, Artha Venture Fund"
27 Aug 2026,InspeCity,Advanced Hardware & Technology,Space Tech,"B2B, B2G",$10.4 Mn,Pre-Series A,"Ashish Kacholia (Lucky Investment Managers), Speciale Invest, Antler India, Shastra VC","Ashish Kacholia, Speciale Invest"
26 Aug 2026,Ringg AI,AI,Application Layer,B2B,$10 Mn**,Series A,"Peak XV Partners, Arkam Ventures, Capital 2B",Peak XV Partners
24 Aug 2026,Asaya,Ecommerce,D2C,B2C,$9.1 Mn,Series A,"RPSG Capital, OTP Ventures, Huddle Ventures, Hyperscale Ventures, 72 Ventures",–
22 Aug 2026***,Omega Seiki Mobility,Clean Tech,Electric Vehicles,"B2B, B2C",$5.2 Mn,–,"Abhishek Misra (Unistone Capital), Sanjeev Agarwal Family Office, Brijesh Parekh Family Office",Abhishek Misra
26 Aug 2026,Curaa,Ecommerce,D2C,B2C,$4.2 Mn,Series A,"3one4 Capital, Kae Capital, Lumikai Fund, Better Capital",3one4 Capital
25 Aug 2026,Utsav App,Consumer Services,eDarshan Services,B2C,$3.8 Mn,Series A,"Atomic Capital, India Quotient, Equanimity Investments",Atomic Capital
24 Aug 2026,WATER Robotics,Advanced Hardware & Technology,Robotics,B2C,$2.5 Mn,–,"Endiya Partners, Pullela Gopichand (national badminton coach), Rohit Chennamaneni (Darwinbox), Nandan Reddy (Swiggy)",Endiya Partners
22 Aug 2026***,Be Clinical,Ecommerce,D2C,B2C,$2.2 Mn,Seed**,"Sauce VC, Sangeet Agrawal (Mokobara), Navin Parwal (Mokobara), Arjun Purkayastha (Reckitt), Shaunak Chirayu Amin (angel)",Sauce VC
25 Aug 2026,CarbonStrong,Clean Tech,Climate Tech,B2B,$1.3 Mn,–,"IAN Group, Rainmatter, Social Alpha, Spectrum Impact, Full Circle Ventures",IAN Group
25 Aug 2026,Echovane,AI,Application Layer,B2B,$1 Mn,Pre-Seed,"Titan Capital, Neon Fund","Titan Capital, Neon Fund"
27 Aug 2026,OORJAA,Logistics,Logistic SaaS,B2B,$1 Mn,Series A,"Equentis Angel Fund, Inflection Point Ventures",Equentis Angel Fund
27 Aug 2026,Biryani Bees,Foodtech,QSR,B2C,$1 Mn,–,Vivek Oberoi Family Office,Vivek Oberoi Family Office
27 Aug 2026,Edgeverse,AI,Application Layer,B2B,$314K,–,GVFL,GVFL
26 Aug 2026,Scooby’s Club,Consumer Services,Pet Care Services,B2C,$250K,Pre-Seed,TDV Partners,TDV Partners
24 Aug 2026,LightFury Games,Media & Entertainment,Gaming,B2C,–,–,Rohit Sharma (cricketer),Rohit Sharma
25 Aug 2026,Staywell.Health,Fintech,Insurtech,B2C,–,–,Equanimity Investments,Equanimity Investments
26 Aug 2026,Brisil Technologies,Clean Tech,Climate Tech,B2B,–,Pre-Series A,Peak Sustainability Ventures,Peak Sustainability Ventures
