Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors
11 Mar 2026,Mozark,Enterprise Tech,Horizontal SaaS,B2B,$40 Mn,Series B,"International Finance Corporation, RMB Capitalworks, Kalaari Capital"
10 Mar 2026,Captain Fresh,Ecommerce,B2B Ecommerce,B2B,$31.4 Mn,Debt,Blue Earth Capital
13 Mar 2026,Waycool,Agritech,Market Linkage,B2B-B2C,$22.7 Mn,–,Lightrock India
12 Mar 2026,Mosiac Wellness,Ecommerce,D2C,B2C,$21.7 Mn*,–,360One Asset
11 Mar 2026,Bonkers Corner,Ecommerce,D2C,B2C,$15 Mn,Series A,"India SME Investments, Phoenix Family Office"
9 Mar 2026,KaarTech,Enterprise Tech,Horizontal SaaS,B2C,$11 Mn,Series B,Playbook Partners
9 Mar 2026,StrideOne,Fintech,Lending Tech,B2B,$11 Mn,–,–
10 Mar 2026,Skye Air,Advanced Hardware & Technology,Aerial Vehicles,B2B,$9 Mn,Series B,"IAN Alpha Fund, AVNM Ventures, Faad Capital, Bajaj Capital, Chiratae Ventures, Mount Judi Ventures"
10 Mar 2026,AquaExchange,Agritech,Farmtech,B2C,$8 Mn,Series B,"Endiya Partners, Factor Analytics, Accion Ventures"
10 Mar 2026,Newtrace,Cleantech,Climate Tech,B2B,$6.3 Mn,Pre-Series A,"HDFC, Mitsui Sumitomo Insurance Venture Capital"
10 Mar 2026,Coreworks AI,AI,Application Layer,B2B,$5 Mn,Seed,Together Fund
12 Mar 2026,GalaxEye,Advanced Hardware & Technology,Spacetech,B2B,$4.8 Mn**,Series A,"Speciale Invest, Mela Venture, Rainmatter, Mounttech Growth Fund, Anicut Capital, Navam Venture Fund, Faad Capital, LV Angel Fund, Eraya Capital"
11 Mar 2026,Boba Bhai,Foodtech,QSR,B2C,$4.4 Mn,–,"8i Ventures, Titan Capital Winners Fund and Global Growth Capital"
11 Mar 2026,Aditi Toys,Ecommerce,D2C,B2C,$3.9 Mn,–,GVFL
10 Mar 2026,Verdant Impact,Agritech,Agri-Bio Tech,B2C,$3 Mn,Seed,"Unicorn India Ventures, Infynyte Club, Yash Kotak (Jumper.ai), Alok Soni (Mud House Capital), a-IDEA NAARM"
11 Mar 2026,Constems-AI,AI,Application Layer,B2B,$2 Mn,Pre-Series A,"Finvolve, Cognify, AIF, Inflection Point Ventures, IIM Lucknow Enterprise Incubation Centre"
11 Mar 2026,OpenCFO,Fintech,Fintech SaaS,B2B,$2 Mn,Seed,Endiya Partners
10 Mar 2026,Zoff Foods,Ecommerce,D2C,B2C,$2 Mn,Pre-Series B,"JM Financial, Aman Gupta (boAt)"
11 Mar 2026,Confluxe,Enterprise Services,–,B2B,$1.6 Mn,Pre-Seed,"Wavemaker Partners, Kriscore Capital"
11 Mar 2026,NPrep,Edtech,Digital Learning Platform,B2C,$1.5 Mn,Seed,Lumikai
11 Mar 2026,UP&RUN,Ecommerce,D2C,B2C,$206K,–,–
9 Mar 2026,Latent AI,AI,AI Infrastructure & Development,B2B,–,–,AUM Ventures
