Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
29 Jul 2026,Freehand,AI,Application Layer,B2B,$75 Mn,–,"Battery Ventures, NewRoad Capital Partners, PSP Growth, Nexus Venture Partners","Battery Ventures, NewRoad Capital Partners"
30 Jul 2026,Arboreal Bioinnovations,Enterprise Services,Manufacturing Solutions,B2B,$24 Mn,Series A,"EAAA Alternatives, Omnivore, Rainmatter","EAAA Alternatives, Omnivore"
31 Jul 2026,Smallest.ai,AI,Application Layer,B2B,$13 Mn,Series A,"Seligman Ventures, Sierra Ventures, 3one4 Capital",Seligman Ventures
30 Jul 2026,Sid’s Farm,Ecommerce,D2C,B2C,$8.5 Mn,Pre-Series B,"Omnivore, Narotam Sekhsaria Family Office, Dodla Dairy, Next Bharat Ventures, Leaders for India Organisation",–
29 Jul 2026,Fixxly,Consumer Services,Quick Commerce,B2B,$5.5 Mn,Seed,"Accel, Fireside Ventures, Lightspeed India Partners","Accel, Fireside Ventures, Lightspeed India Partners"
27 Jul 2026,Omega Seiki Mobility,Clean Tech,Electric Vehicles,"B2B, B2C",$5.2 Mn,–,"Saket Aggarwal Family Office, Securocorp Securities, Sangeeta Pareekh (angel investor), Vanshika Sharma (angel investor)",–
29 Jul 2026,Revspot,AI,Application Layer,B2B,$4.8 Mn,Series A,"Inflexor Ventures, Info Edge Ventures, Pentathlon Ventures, Silicon Road Ventures, Titan Capital","Inflexor Ventures, Info Edge Ventures"
30 Jul 2026,SUIND,Advanced Hardware & Technology,Aerial Vehicles,B2B,$2.1 Mn,Seed,"Transition VC, IIMA Ventures",Transition VC
28 Jul 2026,House of Student,Real Estate Tech,Listing & Discoveries,B2C,$2 Mn,Seed,"Nirmitsu Ventures, Gautam Verlekar (angel), Glen Fernandes (New York Mellon), Richard McCallum (ex-UK India Business Council), Ali Moosa (Singapore Gulf Bank), Unilodgers",Nirmitsu Ventures
30 Jul 2026,Yaanendriya,Advanced Hardware & Technology,Internet Of Things (IoT) & Hardware,B2B,$1.6 Mn,Seed,Piper Serica,Piper Serica
30 Jul 2026,Truth & Hair,Ecommerce,D2C,B2C,$566K,Seed,Inflection Point Ventures,Inflection Point Ventures
