Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
24 Jul 2026,Zetwerk,Enterprise Services,Manufacturing Solutions,B2B,$52 Mn,–,Bharat Value Fund (Pantomath Group),Bharat Value Fund (Pantomath Group)
20 Jul 2026,Veriqus,Fintech,Wealth Tech,B2C,$40.1 Mn,–,Norwest,Norwest
23 Jul 2026,BUSINESSNEXT,Enterprise Tech,Horizontal SaaS,B2B,$40 Mn,Series C,ServiceNow Ventures,ServiceNow Ventures
20 Jul 2026,Raghu Vamsi Aerospace,Advanced Hardware & Technology,–,B2B,$40 Mn,–,"Norwest, Skegen Asset Management, Indus Bridge Ventures, GJNX Ventures, Ashish Kacholia (Lucky Investment Managers)","Norwest, Skegen Asset Management"
20 Jul 2026,Plazza,Consumer Services,Quick Commerce,B2C,$15 Mn,Series A,"Accel, Elevation Capital, Nexus Venture Partners, All In Capital, Better Capital","Accel, Elevation Capital, Nexus Venture Partners"
23 Jul 2026,CARPL.ai,Enterprise Tech,Vertical SaaS,B2B,$10 Mn,Series A,"International Finance Corporation, Stellaris Venture Partners",International Finance Corporation
21 Jul 2026,30 Sundays,Travel Tech,Listing & Discovery,B2C,$6.7 Mn,Series A,"Bessemer Venture Partners, Info Edge Ventures, Eximius Ventures",Bessemer Venture Partners
23 Jul 2026,Farm Watt,Clean Tech,Climate Tech,B2B,$3.3 Mn,–,"IAN Alpha Fund (India Angel Networks), Rainmatter",IAN Alpha Fund (India Angel Networks)
22 Jul 2026,Bioscan Research,Health Tech,Medical Equipments,B2B,$1 Mn,Seed,Unicorn India Ventures,Unicorn India Ventures
20 Jul 2026,LNGVTY,Ecommerce,D2C,B2C,$518K,Seed,Rukam Capital,Rukam Capital
21 Jul 2026,FireAI,AI,Application Layer,B2B,$259K,–,SucSEED Indovation Fund,SucSEED Indovation Fund
23 Jul 2026,NeuralKart,Fintech,Insurtech,B2C,$243K,Seed,Inflection Point Ventures,Inflection Point Ventures
21 Jul 2026,SolarSquare,Clean Tech,Climate Tech,B2B,–,Series C*,MS Dhoni (Cricketer),MS Dhoni (Cricketer)
21 Jul 2026,Khageshvara Aviation Technology,Advanced Hardware & Technology,Aerial Vehicles,B2B,–,–,"Finvolve, India Accelerator, Rukam Capital, ACIC-VGU","Finvolve, India Accelerator"
