Date,Name,Sector,Subsector,Business Model,Funding Round Size,Funding Round Type,Investors,Lead Investor
11 Nov 2025,Finnable,Fintech,Lending Tech,B2C,$56.5 Mn,–,"Z47, TVS Capital","Z47, TVS Capital"
13 Nov 2025,Attentive AI,AI,Application Layer,B2B,$30.5 Mn,Series B,"Insight Partners, Vertex Ventures, Tenacity Ventures, Info Edge Ventures",Insight Partners
12 Nov 2025,Tetr College,Edtech,Digital Learning Platform,B2C,$18 Mn,–,"Owl Ventures, Bertelsmann India Investments","Owl Ventures, Bertelsmann India Investments"
12 Nov 2025,Bombay Shaving Company,Ecommerce,D2C,B2C,$16.3 Mn*,–,"Sixth Sense Ventures, Shantanu Deshpande (founder, BSC), Rahul Dravid (former cricketer)",Sixth Sense Ventures
13 Nov 2025,Brandworks Technologies,Enterprise Services,Manufacturing Solutions,B2B,$11 Mn,Series A**,"Roha Family Office, Cactus Partners, GVFL",–
12 Nov 2025,HRS Navigation,Health Tech,Healthcare Devices,B2B,$5 Mn,Pre-Series A,"GVFL, Physis Capital, Sathguru Catalysers, India EXIM Bank, KITVEN","GVFL, Physis Capital, Sathguru Catalysers"
14 Nov 2025,Codeyoung,Edtech,Digital Learning Platform,B2C,$5 Mn*,Series A,"12 Flags Group, Enzia Ventures","12 Flags Group, Enzia Ventures"
12 Nov 2025,Haus & Kinder,Ecommerce,D2C,B2C,$3.4 Mn,–,Sauce.vc,Sauce.vc
11 Nov 2025,shoppin’,Ecommerce,Vertical Marketplace,B2C,$3 Mn,Seed,"Mixi Global Investments, Info Edge Ventures",Mixi Global Investments
11 Nov 2025,QuickShift,Logistics,Shipping & Delivery,B2B,$2.5 Mn,Pre-Series A,"Atomic Capital, Axilor Ventures",Atomic Capital
13 Nov 2025,Nia.one,Enterprise Tech,Horizontal SaaS,B2B,$2.4 Mn,Seed,Elevar Equity,Elevar Equity
11 Nov 2025,GreenFi,Fintech,Fintech SaaS,B2B,$2 Mn,Seed,Transition VC,Transition VC
12 Nov 2025,Nyayanidhi,AI,Application Layer,B2B,$2 Mn,Seed,"3one4 Capital, DeVC, PeerCheque, Force Ventures, Nishchay AG (cofounder, Jar)",3one4 Capital
12 Nov 2025,FES Café,Ecommerce,D2C,B2C,$1 Mn,Pre-Series A,"12 Flags, Wolfpack Labs",12 Flags
11 Nov 2025,Praan Health,Health Tech,In-Clinic Healthcare,B2C,$958K,Seed,"Rainmatter Investments, WEH Ventures, Alakh Pandey (PhysicsWallah), Prateek Maheshwari (PhysicsWallah), Arjun Vaidya (V3 Ventures)",Rainmatter Investments
12 Nov 2025,&Done,Ecommerce,D2C,B2C,$733K,Pre-Seed,"All In Capital, MG Investments",All In Capital
12 Nov 2025,Alive,Consumer Services,Hyperlocal Services,B2C,$676K,–,Powerhouse Ventures,Powerhouse Ventures
13 Nov 2025,Coratia Technologies,Advanced Hardware & Technology,Maritime Tech,"B2B, B2G",$565K,–,Piper Serica,Piper Serica
12 Nov 2025,DOCO,Ecommerce,Ecommerce Enablers,B2B,$507K,Pre-Seed,"GVFL, Malpani Ventures, Kunwar Asheesh Saxena (RedDoorz)",GVFL
14 Nov 2025,ExtraMile Play,Enterprise Services,–,B2B,$500K,Seed,"GSF, Mount Judi Ventures, GrowthSense, Growth91",GSF
10 Nov 2025,Trishul Space,Advanced Hardware & Technology,Spacetech,B2B,$451K,Pre-Seed,"IAN Angel Fund, 8X Ventures, ITEL",IAN Angel Fund
13 Nov 2025,ACS Energy,Cleantech,Electric Vehicles,B2B,$124K,Pre-Seed,Inflection Point Ventures,Inflection Point Ventures
